year,val,upperVal,lowerVal
1984,0.03019004180492408,0.07074412522395525,0.005707667507852366
1988,0.04205060500192044,0.09658086946336944,0.00854108634716583
1989,0.03090998199778035,0.07817660635466334,0.004460904742585261
1990,0.03374456596790193,0.0847576690980255,0.0056778998946916525
1991,0.061931661661585646,0.12010657334617059,0.016078019804975714
1992,0.029270173777443224,0.07124006882019232,0.005060402502181048
1993,0.03397454354850928,0.0757897377849635,0.00556396788115
1994,0.0331007861133553,0.07851875433680505,0.0068419395711537484
1995,0.04053226302920734,0.09188704901410179,0.007922334065553411
1996,0.04329655596745696,0.09536688106365458,0.00853203777848917
1997,0.05408767505126419,0.10493754949686883,0.014337900033953948
1998,0.044193417012417496,0.0835727252411891,0.010790379789122204
1999,0.027431311575775566,0.0585716616263816,0.005278482103355721
2000,0.03531253667651857,0.06641602019714302,0.009014197172427608
2001,0.03403256592028567,0.06851180004486987,0.006916391903613684
2002,0.04389804639934952,0.08416118813356045,0.011361962829871314
2003,0.02767794706211381,0.06453167299678017,0.005373473003933304
2004,0.04105223383181389,0.07896720458602907,0.011269777951760696
2005,0.020568906199819603,0.04852837891554304,0.003880278400624911
2006,0.01607557604424714,0.040809298119416894,0.002745263376738762
2007,0.02622068728247445,0.05822349646814033,0.0059490554341533886
2008,0.03478390576014209,0.07249407632175611,0.005957557596324128
2009,0.026516151327462836,0.06021714845000346,0.0037446858028572718
2010,0.018790168101696144,0.05287011779857954,0.0029121632055680263
2011,0.020762718711316894,0.05765671155656435,0.002888756032694634
2012,0.017225176966836408,0.052069474922367305,0.002305460812132597
2013,0.019590888209612422,0.0572602557151248,0.002923543121731342
2014,0.021311334674914584,0.05910856367818424,0.0034784633559780845
2015,0.024339395764105768,0.06360111491267549,0.003755450970032281
2016,0.024370055594477642,0.0637270584699328,0.004874863522200229
2017,0.022763003074828984,0.0613646634616965,0.004068219469050585
2018,0.018360048017226765,0.05208993681815984,0.003023295347638594
2019,0.027835673493701737,0.08589737192911905,0.0033135317294812044
